sample_index,mission_elapsed_seconds,altitude_m,downrange_m,vertical_speed_mps,surface_speed_mps,apoapsis_m,periapsis_m,latitude_deg,longitude_deg
0,0,117.29,0,-0.07,0.93,54.27,-6362572.53,28.6418,-80.624
1,0.4,116.9,0.34,0.83,0.61,53.95,-6362520.21,28.6418,-80.624
2,0.7,116.77,0.19,-1.3,0.85,53.84,-6362498.99,28.6418,-80.624
3,1.1,116.37,0.33,-1.51,2.04,53.44,-6362445.84,28.6418,-80.6239
4,1.4,116.49,0.79,0.29,0.48,53.45,-6362516.43,28.6418,-80.6239
5,1.8,116.46,0.82,-0.45,0.6,53.42,-6362561.31,28.6418,-80.6239
6,2.2,116.35,0.53,0.23,0.35,53.31,-6362546.36,28.6418,-80.6239
7,2.5,116.31,0.53,0.14,0.27,53.27,-6362525.82,28.6418,-80.6239
8,2.9,116.31,0.55,0,0.01,53.26,-6362534.7,28.6418,-80.6239
9,3.2,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
10,3.6,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
11,4,116.31,0.56,0,0,53.26,-6362533.99,28.6418,-80.6239
12,4.3,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
13,4.7,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
14,5.1,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
15,5.4,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
16,5.8,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
17,6.2,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
18,6.6,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
19,7,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
20,7.3,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
21,7.7,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
22,8.1,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
23,8.5,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
24,8.9,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
25,9.2,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
26,9.6,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
27,10,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
28,10.4,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
29,10.9,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
30,11.5,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
31,12.2,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
32,12.9,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
33,13.6,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
34,14.4,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
35,15.1,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
36,15.8,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
37,16.5,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
38,17.1,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
39,17.7,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
40,18.2,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
41,18.8,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
42,19.2,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
43,19.6,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
44,20,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
45,20.5,116.31,0.56,0,0,53.26,-6362534,28.6418,-80.6239
46,20.9,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
47,21.3,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
48,21.7,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
49,22.1,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
50,22.6,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
51,23,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
52,23.4,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
53,23.9,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
54,24.5,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
55,25,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
56,25.4,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
57,25.8,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
58,26.3,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
59,26.7,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
60,27.2,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
61,27.6,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
62,28,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
63,28.5,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
64,28.9,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
65,29.4,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
66,29.8,116.31,0.55,0,0,53.26,-6362533.99,28.6418,-80.6239
67,30.2,116.31,0.55,0,0,53.26,-6362534,28.6418,-80.6239
68,30.7,116.31,0.55,0,0,53.25,-6362533.99,28.6418,-80.6239
69,31.2,116.31,0.55,0,0,53.25,-6362534,28.6418,-80.6239
70,31.6,116.31,0.55,0,0,53.24,-6362534,28.6418,-80.6239
71,32.1,116.24,0.45,0.07,0.09,66.78,-6362538.05,28.6418,-80.6239
72,32.5,116.62,0.38,1.64,0.16,67.3,-6362540.74,28.6418,-80.6239
73,33,117.82,0.31,3.48,0.13,69,-6362539.39,28.6418,-80.6239
74,33.5,119.85,0.27,5.28,0.11,71.86,-6362538.34,28.6418,-80.6239
75,33.9,122.72,0.21,7.09,0.1,75.87,-6362537.94,28.6418,-80.6239
76,34.4,126.41,0.16,8.91,0.1,81.08,-6362537.56,28.6418,-80.624
77,34.8,130.96,0.16,10.76,0.1,87.49,-6362537.29,28.6418,-80.624
78,35.3,136.36,0.13,12.63,0.09,95.13,-6362536.9,28.6418,-80.624
79,35.8,142.62,0.13,14.52,0.09,104.03,-6362536.5,28.6418,-80.624
80,36.2,149.76,0.13,16.43,0.08,114.2,-6362536.15,28.6418,-80.624
81,36.7,158.15,0.19,18.45,0.09,126.21,-6362535.96,28.6418,-80.624
